file	part	entropy	npvi	meter	file	part	sus	lnt	unt	ant
chor299.krn	 4	 4.34392	 36.705	 *M4/4	chor299.hrm	 4	 0	 0	 1	 1
chor303.krn	 1	 4.83925	 30.6934	 *M4/4	chor303.hrm	 4	 0	 0	 0	 0
chor303.krn	 2	 4.27862	 29.0816	 *M4/4	chor303.hrm	 4	 0	 0	 0	 0
chor303.krn	 3	 4.36398	 21.6049	 *M4/4	chor303.hrm	 4	 2	 0	 0	 0
chor303.krn	 4	 3.85683	 29.3651	 *M4/4	chor303.hrm	 4	 0	 0	 0	 0
chor306.krn	 1	 5.1075	 27.1667	 *M4/4	chor306.hrm	 4	 0	 0	 0	 0
chor306.krn	 2	 4.88279	 33.2693	 *M4/4	chor306.hrm	 4	 4	 2	 0	 1
chor306.krn	 3	 5.08567	 43.2743	 *M4/4	chor306.hrm	 4	 8	 11	 0	 2
chor306.krn	 4	 3.83007	 12.5	 *M4/4	chor306.hrm	 4	 0	 0	 0	 0
chor323.krn	 1	 5.04327	 17.6052	 *M4/4	chor323.hrm	 4	 0	 0	 0	 0
chor323.krn	 2	 4.59536	 28.6195	 *M4/4	chor323.hrm	 4	 2	 2	 0	 0
chor323.krn	 3	 4.0402	 16.4609	 *M4/4	chor323.hrm	 4	 2	 0	 0	 0
chor323.krn	 4	 4.09006	 10.9589	 *M4/4	chor323.hrm	 4	 0	 0	 0	 0
chor328.krn	 1	 4.94036	 43.2137	 *M4/4	chor328.hrm	 4	 7	 0	 0	 0
chor328.krn	 2	 4.27917	 37.3772	 *M4/4	chor328.hrm	 4	 0	 0	 0	 0
chor328.krn	 3	 3.89727	 35.2381	 *M4/4	chor328.hrm	 4	 1	 0	 0	 0
chor328.krn	 4	 3.50154	 26.6667	 *M4/4	chor328.hrm	 4	 0	 0	 0	 0
chor350.krn	 1	 4.59597	 19.6078	 *M4/4	chor350.hrm	 4	 0	 0	 0	 0
chor350.krn	 2	 4.41965	 22.2222	 *M4/4	chor350.hrm	 4	 2	 0	 0	 0
chor350.krn	 3	 4.19074	 19.5025	 *M4/4	chor350.hrm	 4	 0	 0	 0	 1
chor350.krn	 4	 3.93529	 22.1799	 *M4/4	chor350.hrm	 4	 0	 0	 0	 2
chor354.krn	 1	 4.54338	 18.7037	 *M4/4	chor354.hrm	 4	 0	 0	 0	 0
chor354.krn	 2	 4.67365	 26.8421	 *M4/4	chor354.hrm	 4	 4	 1	 0	 0
chor354.krn	 3	 4.18409	 27.9812	 *M4/4	chor354.hrm	 4	 2	 0	 0	 0
chor354.krn	 4	 4.02925	 14.5833	 *M4/4	chor354.hrm	 4	 0	 0	 0	 0
chor361.krn	 1	 4.66716	 14.902	 *M4/4	chor361.hrm	 4	 0	 1	 0	 0
chor361.krn	 2	 4.60247	 26.0536	 *M4/4	chor361.hrm	 4	 1	 2	 0	 3
chor361.krn	 3	 4.26662	 25.9916	 *M4/4	chor361.hrm	 4	 5	 1	 0	 0
chor361.krn	 4	 3.88949	 18.5417	 *M4/4	chor361.hrm	 4	 4	 1	 0	 0
chor366.krn	 1	 4.7019	 21.8443	 *M4/4	chor366.hrm	 4	 0	 1	 2	 0
chor366.krn	 2	 4.63827	 31.7734	 *M4/4	chor366.hrm	 4	 3	 0	 1	 1
chor366.krn	 3	 4.75492	 32.044	 *M4/4	chor366.hrm	 4	 0	 3	 1	 0
chor366.krn	 4	 3.86284	 36.3342	 *M4/4	chor366.hrm	 4	 0	 0	 0	 0
chor368.krn	 1	 4.90054	 37.7479	 *M3/4	chor368.hrm	 4	 0	 4	 0	 0
chor368.krn	 2	 4.66119	 60.0544	 *M3/4	chor368.hrm	 4	 2	 3	 0	 2
chor368.krn	 3	 4.31004	 36.9388	 *M3/4	chor368.hrm	 4	 6	 4	 0	 0
chor368.krn	 4	 4.25698	 46.9678	 *M3/4	chor368.hrm	 4	 0	 0	 2	 0
